atclog_codigo,atc_numero,atclog_estado,atclog_fecha,atclog_motivo,usu_codigo,usu_login
1487088,1054517,Pend.2da.aprob.,2025-12-31T20:47:11.000Z,Primera aprobación,1103,epoma
1487087,1056487,Pend.2da.aprob.,2025-12-31T20:45:33.000Z,Primera aprobación,1103,epoma
1487086,1057950,Pend.2da.aprob.,2025-12-31T20:43:17.000Z,Primera aprobación,1103,epoma
1486477,1057996,Pend.1ra.aprob.,2025-12-31T18:45:47.000Z,Llenado de ATC,,
1486476,1056672,Pend.2da.aprob.,2025-12-31T18:13:02.000Z,Primera aprobación,1177,raguilar
1486474,1047075,Cancelado,2025-12-31T17:38:35.000Z,Proveedor no realizo el trabajo.,1856,mmanyahuillca
1486462,1054489,Pend.2da.aprob.,2025-12-31T17:27:02.000Z,Primera aprobación,1150,msalazar
1486447,1047208,Cancelado,2025-12-31T17:05:57.000Z,Se cancela Proveedor no ejecuto.,1856,mmanyahuillca
1486444,1057285,Pend.2da.aprob.,2025-12-31T16:12:24.000Z,Primera aprobación,1236,dlopez
1486443,1057286,Pend.2da.aprob.,2025-12-31T16:10:46.000Z,Primera aprobación,1236,dlopez
1486442,1055462,Pend.2da.aprob.,2025-12-31T16:09:49.000Z,Primera aprobación,1236,dlopez
1486441,1056603,Pend.2da.aprob.,2025-12-31T16:09:18.000Z,Primera aprobación,1236,dlopez
1486440,1057225,Pend.2da.aprob.,2025-12-31T16:08:29.000Z,Primera aprobación,1236,dlopez
1486439,1057226,Pend.2da.aprob.,2025-12-31T16:07:12.000Z,Primera aprobación,1236,dlopez
1486438,1057292,Pend.2da.aprob.,2025-12-31T16:06:16.000Z,Primera aprobación,1236,dlopez
1486437,1057293,Pend.2da.aprob.,2025-12-31T16:05:37.000Z,Primera aprobación,1236,dlopez
1486436,1057381,Pend.2da.aprob.,2025-12-31T16:04:36.000Z,Primera aprobación,1236,dlopez
1486435,1057679,Pend.2da.aprob.,2025-12-31T16:02:50.000Z,Primera aprobación,1236,dlopez
1486434,1057686,Pend.2da.aprob.,2025-12-31T16:02:13.000Z,Primera aprobación,1236,dlopez
1486433,1057694,Pend.2da.aprob.,2025-12-31T16:01:23.000Z,Primera aprobación,1236,dlopez
1486432,1057701,Pend.2da.aprob.,2025-12-31T16:00:38.000Z,Primera aprobación,1236,dlopez
1486431,1057702,Pend.2da.aprob.,2025-12-31T15:59:16.000Z,Primera aprobación,1236,dlopez
1486430,1057703,Pend.2da.aprob.,2025-12-31T15:57:17.000Z,Primera aprobación,1236,dlopez
1486429,1057707,Pend.2da.aprob.,2025-12-31T15:55:47.000Z,Primera aprobación,1236,dlopez
1486428,1057712,Pend.2da.aprob.,2025-12-31T15:54:09.000Z,Primera aprobación,1236,dlopez
1486427,1057742,Pend.2da.aprob.,2025-12-31T15:52:40.000Z,Primera aprobación,1236,dlopez
1486426,1055462,Cotiz.Aceptada,2025-12-31T15:51:34.000Z,Códigos de servicios de cotización aceptada,1236,dlopez
1486425,1057225,Cotiz.Aceptada,2025-12-31T15:48:21.000Z,Códigos de servicios de cotización aceptada,1236,dlopez
1486424,1057226,Cotiz.Aceptada,2025-12-31T15:48:01.000Z,Códigos de servicios de cotización aceptada,1236,dlopez
