atc_codigo,atc_numero,atclog_estado_1,atclog_fecha_1,atclog_estado_2,atclog_fecha_2,atclog_estado_3,atclog_fecha_3,atclog_estado_4,atclog_fecha_4,atclog_estado_5,atclog_fecha_5,atclog_estado_6,atclog_fecha_6,atclog_estado_7,atclog_fecha_7,atclog_estado_8,atclog_fecha_8,atclog_estado_9,atclog_fecha_9,atclog_estado_10,atclog_fecha_10,dif_days_1,dif_days_2,dif_days_3,dif_days_4,dif_days_5,dif_days_6,dif_days_7,dif_days_8,dif_days_9,dif_days_10
141619,1076999,Vacío,2025-09-08T16:01:07.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141618,1076998,Vacío,2025-09-08T15:58:50.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141617,1076997,Vacío,2025-09-08T15:57:45.816Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141616,1076996,Vacío,2025-09-08T15:52:41.750Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141615,1076995,Vacío,2025-09-08T15:47:58.810Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141614,1076994,Vacío,2025-09-08T15:44:33.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141613,1076993,Vacío,2025-09-08T15:44:19.186Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141612,1076992,Vacío,2025-09-08T15:41:45.800Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141611,1076991,Vacío,2025-09-08T15:39:59.386Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141610,1076990,Vacío,2025-09-08T15:36:49.203Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141609,1076989,Vacío,2025-09-08T15:35:53.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141608,1076988,Vacío,2025-09-08T15:25:16.906Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141607,1076987,Vacío,2025-09-08T15:12:42.073Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141606,1076986,Vacío,2025-09-08T14:59:22.893Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141605,1076985,Vacío,2025-09-08T14:52:12.163Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141604,1076984,Vacío,2025-09-08T14:45:42.983Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141603,1076983,Vacío,2025-09-08T14:44:54.806Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141602,1076982,Vacío,2025-09-08T14:37:05.396Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141601,1076981,Vacío,2025-09-08T14:34:16.716Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141600,1076980,Vacío,2025-09-08T14:32:28.223Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141599,1076979,Vacío,2025-09-08T14:31:19.500Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141598,1076978,Vacío,2025-09-08T14:29:27.260Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141597,1076977,Vacío,2025-09-08T14:26:15.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141596,1076976,Vacío,2025-09-08T14:21:37.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141595,1076975,Vacío,2025-09-08T14:01:41.053Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141594,1076974,Vacío,2025-09-08T13:53:08.910Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141593,1076973,Vacío,2025-09-08T13:05:24.860Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141592,1076972,Vacío,2025-09-08T13:05:03.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141591,1076971,Vacío,2025-09-08T12:56:21.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141590,1076970,Vacío,2025-09-08T12:36:56.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141589,1076969,Vacío,2025-09-08T12:35:31.186Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141588,1076968,Vacío,2025-09-08T12:34:34.480Z,,,Pend.1ra.aprob.,2025-09-08T13:31:52.000Z,,,,,,,,,,,,,,,,,0,,,,,,,
141587,1076967,Vacío,2025-09-08T12:33:27.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141586,1076966,Vacío,2025-09-08T12:32:31.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141585,1076965,Vacío,2025-09-08T12:06:09.236Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141584,1076964,Vacío,2025-09-08T12:05:56.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141583,1076963,Vacío,2025-09-08T12:05:07.326Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141582,1076962,Vacío,2025-09-08T12:04:25.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141581,1076961,Vacío,2025-09-08T11:58:20.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141580,1076960,Vacío,2025-09-08T11:56:18.436Z,,,Pend.1ra.aprob.,2025-09-08T12:05:07.000Z,,,,,,,,,,,,,,,,,0,,,,,,,
141579,1076959,Vacío,2025-09-08T11:54:11.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141578,1076958,Vacío,2025-09-08T11:52:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141577,1076957,Vacío,2025-09-08T10:44:56.516Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141576,1076956,Vacío,2025-09-08T10:08:39.836Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141575,1076955,Vacío,2025-09-08T09:48:25.070Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141574,1076954,Vacío,2025-09-08T09:46:56.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141573,1076953,Vacío,2025-09-08T09:46:50.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141572,1076952,Vacío,2025-09-08T09:46:45.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141571,1076951,Vacío,2025-09-08T09:46:38.826Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141570,1076950,Vacío,2025-09-08T09:46:32.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
