sslog_codigo,sse_numero,sslog_estado,sslog_fecha,sslog_motivo,usu_codigo,usu_login
108493,251231220107,Nuevo,2025-12-31T22:01:07.000Z,Notificación / Creación de SS,1114,jbardales
108492,251231210725,Nuevo,2025-12-31T21:07:25.000Z,Notificación / Creación de Anormalidad,1000,proveedortasa
108491,251231205136,Nuevo,2025-12-31T20:51:36.000Z,Notificación / Creación de Anormalidad,1000,proveedortasa
108490,251231201406,Nuevo,2025-12-31T20:14:06.000Z,Notificación / Creación de SS,1517,jbecerra
108489,251231200041,Nuevo,2025-12-31T20:00:41.000Z,Notificación / Creación de SS,1517,jbecerra
108488,251231192104,Nuevo,2025-12-31T19:21:04.000Z,Notificación / Creación de SS,1153,msaba
108487,251231190610,Nuevo,2025-12-31T19:06:10.000Z,Notificación / Creación de SS,1153,msaba
108485,251231184209,Nuevo,2025-12-31T18:42:09.000Z,Notificación / Creación de SS,1618,vjacinto
108484,251231182200,Nuevo,2025-12-31T18:22:00.000Z,Notificación / Creación de SS,1160,mccasa
108483,251231171907,Nuevo,2025-12-31T17:19:07.000Z,Notificación / Creación de SS,1141,jupizarro
108533,251231171119,Nuevo,2025-12-31T17:11:19.000Z,Notificación / Creación de SS,1876,grobles
108482,251231171011,Nuevo,2025-12-31T17:10:11.000Z,Notificación / Creación de SS,1876,grobles
108481,251231170903,Nuevo,2025-12-31T17:09:03.000Z,Notificación / Creación de SS,1876,grobles
108480,251231164827,Nuevo,2025-12-31T16:48:27.000Z,Notificación / Creación de SS,1876,grobles
108479,251231163326,Nuevo,2025-12-31T16:33:26.000Z,Notificación / Creación de SS,1876,grobles
108477,251231162205,Nuevo,2025-12-31T16:22:05.000Z,Notificación / Creación de SS,1184,sfernandez
108478,251231162152,Nuevo,2025-12-31T16:21:52.000Z,Notificación / Creación de SS,1876,grobles
108474,251231152553,Nuevo,2025-12-31T15:25:53.000Z,Notificación / Creación de SS,1147,lsarrin
108476,251231151830,Nuevo,2025-12-31T15:18:30.000Z,Notificación / Creación de SS,1876,grobles
108473,251231151407,Nuevo,2025-12-31T15:14:07.000Z,Notificación / Creación de SS,1876,grobles
108472,251231145630,Nuevo,2025-12-31T14:56:30.000Z,Notificación / Creación de SS,1876,grobles
108471,251231145330,Nuevo,2025-12-31T14:53:30.000Z,Notificación / Creación de SS,1876,grobles
108470,251231144301,Nuevo,2025-12-31T14:43:01.000Z,Notificación / Creación de SS,1183,sasandoval
108468,251231141213,Nuevo,2025-12-31T14:12:13.000Z,Notificación / Creación de SS,1326,glopez
108475,251231134733,Nuevo,2025-12-31T13:47:33.000Z,Notificación / Creación de SS,1179,rengracio
108467,251231132714,Nuevo,2025-12-31T13:27:14.000Z,Notificación / Creación de SS,1103,epoma
108466,251231132049,Nuevo,2025-12-31T13:20:49.000Z,Notificación / Creación de SS,1103,epoma
108465,251231131708,Nuevo,2025-12-31T13:17:08.000Z,Notificación / Creación de SS,1103,epoma
108469,251231130855,Nuevo,2025-12-31T13:08:55.000Z,Notificación / Creación de SS,1876,grobles
108464,251231125125,Nuevo,2025-12-31T12:51:25.000Z,Notificación / Creación de SS,1876,grobles
108463,251231121938,Nuevo,2025-12-31T12:19:38.000Z,Notificación / Creación de SS,1876,grobles
108461,251231121305,Nuevo,2025-12-31T12:13:05.000Z,Notificación / Creación de SS,1876,grobles
108460,251231115344,Nuevo,2025-12-31T11:53:44.000Z,Notificación / Creación de SS,1111,jstigler
108459,251231115036,Nuevo,2025-12-31T11:50:36.000Z,Notificación / Creación de SS,1111,jstigler
108458,251231112846,Nuevo,2025-12-31T11:28:46.000Z,Notificación / Creación de SS,1111,jstigler
108456,251231110916,Nuevo,2025-12-31T11:09:16.000Z,Notificación / Creación de SS,1128,jsenmache
108455,251231110341,Nuevo,2025-12-31T11:03:41.000Z,Notificación / Creación de SS,1128,jsenmache
108452,251231105804,Nuevo,2025-12-31T10:58:04.000Z,Notificación / Creación de SS,1161,mjuarez
108453,251231105444,Nuevo,2025-12-31T10:54:44.000Z,Notificación / Creación de SS,1147,lsarrin
108451,251231105129,Nuevo,2025-12-31T10:51:29.000Z,Notificación / Creación de SS,1161,mjuarez
108494,251231101033,Nuevo,2025-12-31T10:10:33.000Z,Notificación / Creación de SS,1118,jacosta
108450,251231101007,Nuevo,2025-12-31T10:10:07.000Z,Notificación / Creación de SS,1147,lsarrin
108449,251231095918,Nuevo,2025-12-31T09:59:18.000Z,Notificación / Creación de SS,1083,adelacruz
108447,251231095450,Nuevo,2025-12-31T09:54:50.000Z,Notificación / Creación de SS,1083,adelacruz
108446,251231094830,Nuevo,2025-12-31T09:48:30.000Z,Notificación / Creación de SS,1083,adelacruz
108448,251231094201,Nuevo,2025-12-31T09:42:01.000Z,Notificación / Creación de SS,1183,sasandoval
108445,251231094048,Nuevo,2025-12-31T09:40:48.000Z,Notificación / Creación de SS,1083,adelacruz
108457,251231091420,Nuevo,2025-12-31T09:14:20.000Z,Notificación / Creación de SS,1111,jstigler
108444,251231081546,Nuevo,2025-12-31T08:15:46.000Z,Notificación / Creación de SS,1876,grobles
108443,251231081412,Nuevo,2025-12-31T08:14:12.000Z,Notificación / Creación de SS,1876,grobles
